ID;Item
208;Cheese Others
208;Fine Seeds
110;Banana
306;Cakes
72;Citrus Fruits
209;Zod Bakery PIZZA &PIES
293;Citrus Fruits
251;Chocolate Coated Wafers
208;Facial Tissue Refills
128;Citrus Fruits
386;Real Potato Chips in Pol
126;Zod Bakery Croissants
208;French Fries
141;Arabic Sweets
72;Seeds Fruits
29;Zod Bakery Rusks
208;Un
208;Breakfast Drinks
471;Tooth Paste/Gel Standard
313;Chocolate Coated Wafers
141;Vegetable Noodles
350;Butter
141;Cookies
251;Citrus Fruits
309;Shampoos
208;Shampoos
115;Potato Chips in Canister
208;Basterma & Salami
251;Dishwashing Liquid
209;Prepacked
208;Pasta Sauce
209;Scourers/Scrubber/Sponge
208;Other Kitchen Needs
309;Citrus Fruits
251;Cakes
394;Other Fresh Dates
309;Plain Cream
255;Slice Cheese
251;Real Potato Chips in Pol
138;Juice Milk
223;Choco Cereals
57;Real Potato Chips in Pol
180;Bread
268;Citrus Fruits
468;Shampoos
141;Whole Seeds
68;Shampoos
180;Bread
209;Evaporated Milk
180;Halawa Plain
208;Mix/Seasoning
313;Dishwashing Liquid
115;Chicken Mortadella
161;Body Oil
180;Citrus Fruits
355;Banana
394;Citrus Fruits
251;Real Potato Chips in Pol
72;Mix Portion
115;Chicken Stock
394;Fosfos
110;Other Fresh Dates
251;Sunflower Oil
344;Rusk
266;Citrus Fruits
178;Black Olives Whole
223;Honey
209;Extra Virgin Olive Oil
209;Fabric Softener
138;Baking Powder
208;Other Carbonated Flavour
141;Green Olives
313;Honey
208;Egyptian
251;Banana
208;Food Storage Bags
161;Body Cream/Lotions/Splash
141;Citrus Fruits
209;Prepacked
309;Shampoos
223;Juice Milk
253;Mix Portion
209;Facial Tissue Refills
208;Potato
110;Chicken Parts
209;Vinegar
141;Lime/Lemon
249;Banana
266;Chicken Breast
138;Citrus Fruits
209;Prepacked
468;Shampoos
171;Citrus Fruits
208;Turkey Mortadella
309;Real Potato Chips in Pol
313;Sliced White Bread
186;No Added Sugar
293;Chocolate in Box
209;Dishwashing Liquid
71;Bread
180;Facial Tissue Refills
208;Buns/Hot Dog
110;Extra Virgin Olive Oil
57;Bread
352;Arabic Sweets
344;Banana
251;Tooth Paste/Gel Standard
313;Chocolate in Bag
313;Cream/Mousse
223;Makdos Syria
165;Plain Halawa
356;Citrus Fruits
251;Black Olives
251;Other Chips in Poly Bags
309;Crm Cheese Spread In Jar
110;Labneh
223;Tablet Candy/Chocolate
186;Bread
115;Basterma & Salami
355;Sunflower Oil
208;Egyptian/Calrose
309;Light Meat Tuna in Oil
114;Citrus Fruits
208;Asian Food
468;Tooth Paste/Gel Standard
468;Shampoos
177;Plain Water
223;Crm Cheese Spread In Jar
178;Facial Tissue
186;Citrus Fruits
43;Light Meat Tuna in Oil
161;Body Cream/Lotions/Splash
313;Mazza/Sella Basmati
223;Juice Milk
141;Orange
394;Citrus Fruits
72;Fresh Cucumber
208;Prepacked
115;Halawa Plain
209;Fine Seeds
209;Tea Bags
29;Banana
209;Salad
282;Shampoos
186;Fresh Carrots
293;No Added Sugar
266;Chicken Nuggets
141;Citrus Fruits
48;Ready Coffee
344;Citrus Fruits
138;Hair Food/Cream
208;Asian Food
38;Zod Bakery Rusks
165;Shampoos
208;Cheddar Cheese In Tin
293;Salad
223;French Fries
208;Spaghetti
177;Plain Cereals
350;Citrus Fruits
223;Tomato Paste In Tetra PC
251;Cream Caramel
293;Fresh Carrots
309;Top Loading
293;Fresh Onions
115;Citrus Fruits
253;Citrus Fruits
209;Buns/Hot Dog
209;Liquid Detergent For Aba
251;Shampoos
223;Breakfast Drinks
266;Diaper
468;Shampoos
47;Donuts
141;Fruit Cocktail
394;Light Meat Tuna in Oil
180;Banana
208;Other Chips in Poly Bags
71;Beef Mortadella
223;Chocolate in Bag
141;Mazza/Sella Basmati
223;French Fries
180;Sliced White Bread
223;Chocolate in Bag
209;Whole Chicken
115;Yoghurt Full Fat
57;Real Potato Chips in Pol
126;Banana
208;Feminine Napkins
178;Halawa Plain
218;Citrus Fruits
208;Puff Pastry
223;Tablet Candy/Chocolate
313;Tablet Candy/Chocolate
208;Fabric Softener
180;Citrus Fruits
38;Banana
171;Banana
223;Black Olives Whole
177;Fresh Whole Chicken 1000
180;Banana
208;Tomato Paste In Tetra PC
352;Arabic Sweets
43;Chicken Burger
394;White/Feta Cheese
15;Light Meat Tuna in Oil
355;Bath Soap Bar Antiseptic
313;Chocolate in Bag
208;Cream/Mousse
209;Corn Oil
208;Zod Bakery Croissants
138;Evaporated Milk
249;Arabic Sweets
141;Instant Coffee
355;White Soft Cheese
293;Citrus Fruits
223;Sliced White Bread
141;Banana
71;Mix Pickles
186;Facial Tissue Refills
208;Juice Milk
126;Citrus Fruits
208;Mix/Seasoning
209;Honey
306;No Added Sugar
355;Vegetable Oil
223;Cheddar Cheese In Tin
223;Chicken Burger
48;Instant Coffee
394;Orange
34;Citrus Fruits
253;Tooth Paste/Gel Standard
29;Citrus Fruits
43;Labneh
282;Citrus Fruits
386;Banana
209;Chicken Breast
141;Fine Sugar
115;Large
208;Puff Pastry
208;Evaporated Milk
251;Honey
386;Citrus Fruits
38;Cocoa Powder
208;Liquid Hand Soap
209;Egyptian/Calrose
253;Low Fat Yoghurt
218;Citrus Fruits
208;Corn Oil
251;Labneh
209;Instant Coffee
223;Chocolate Coated Wafers
115;Labneh
208;Chicken Mortadella
223;Low Fat
38;Citrus Fruits
138;Instant Coffee
223;Cocoa Powder
223;Labneh
468;Shampoos
251;Arabic Sweets
177;Plain Cream
309;Vegetable Oil
208;Other Sauces/Dressing
249;Black Olives Whole
313;Liquid Tahina
166;Plain Cream
208;Jam
313;Donuts
208;Baladi Veal
329;Citrus Fruits
306;No Added Sugar
468;Shampoos
309;Molokhia
282;Shampoos
394;Creamy Chocolate Spread
253;Seeds Fruits
223;Rusk
165;Shampoos
208;Fresh/Breakfast Cream
48;Top Loading
313;Chocolate in Bag
68;Citrus Fruits
47;Zod Bakery Croissants
223;Juice Milk
209;Egyptian
114;Banana
208;Tooth Paste/Gel Standard
386;Whole Seeds
209;Basterma & Salami
165;Evaporated Milk
166;Instant Coffee
72;Fresh Green Beans
355;Citrus Fruits
251;Shampoos
255;Citrus Fruits
209;Potato
48;Liquid Tahina
208;French Fries
48;Facial Tissue Refills
115;White Soft Cheese
138;Sandwich Biscuits
165;Top Loading
223;Chocolate in Bag
208;Other Flavour Drink
209;Corn Flour/Starch
115;White Soft Cheese
208;Full Fat Milk
180;Sliced White Bread
293;Fresh Cucumber
209;Loose/Powder Tea
394;Chocolate in Bag
29;Facial Tissue Refills
208;Chocolate Milk
344;Rusk
266;Citrus Fruits
57;Real Potato Chips in Pol
186;Fresh Cucumber
72;Lettuce
293;Citrus Fruits
57;Real Potato Chips in Pol
386;Citrus Fruits
29;Dishwashing Liquid
223;Juice Milk
355;Citrus Fruits
209;Other Spices
115;Arabic Sweets
